id;nama;divisi;jabatan;ipk
0;christy;Bidang Pergerakan;Ketua Divisi;3.53
1;octavia;Bidang Pergerakan;Staff;2.68
2;aji;Bidang Pergerakan;Staff;2.77
3;artha;Bidang Pergerakan;Staff;3.27
4;halim;Bidang Pergerakan;Staff;2.55
5;hanna;Bidang Pergerakan;Staff;3.05
6;fatmawati;Bidang Pergerakan;Staff;3.83
7;wulandari;Bidang Pergerakan;Staff;3.76
8;anindita;Bidang Pergerakan;Staff;2.7
9;dahlia;Bidang Pergerakan;Staff;3.29
10;arisandi;Bidang Pergerakan;Staff;3.89
11;puji;Bidang Pergerakan;Staff;3.81
12;hesti;Bidang Pergerakan;Staff;3.11
13;trisnawati;Bidang Pergerakan;Staff;2.63
14;lidia;Bidang Pergerakan;Staff;3.57
15;noviani;Bidang Pergerakan;Staff;3.1
16;annisa;Bidang Pergerakan;Staff;3.93
17;ihsan;Bidang Pergerakan;Staff;3.86
18;farah;Bidang Pergerakan;Staff;2.54
19;sanjaya;Bidang Pergerakan;Staff;2.57
20;fitriani;Bidang Pergerakan;Staff;2.77
21;indri;Bidang Pergerakan;Staff;3.25
22;bangun;Bidang Pergerakan;Staff;3.28
23;indrawati;Bidang Pergerakan;Staff;3.3
24;lutfi;Bidang Pergerakan;Staff;3.82
25;rian;Bidang Pergerakan;Staff;2.58
26;dedi;Bidang Pergerakan;Staff;3.55
27;anang;Bidang Pergerakan;Staff;2.85
28;wuri;Bidang Pergerakan;Staff;2.77
29;riski;Bidang Pergerakan;Staff;2.79
30;nani;Bidang Pergerakan;Staff;2.67
31;nurul;Bidang Pergerakan;Staff;3.3
32;deri;Bidang Pergerakan;Staff;3.61
33;dika;Bidang Pergerakan;Staff;3.24
34;imam;Bidang Pergerakan;Staff;3.61
35;titik;Bidang Pergerakan;Staff;2.92
36;purwanti;Bidang Pergerakan;Staff;3.54
37;akhmad;Bidang Pergerakan;Staff;3.03
38;syah;Bidang Pergerakan;Staff;3.43
39;ningsih;Bidang Pergerakan;Staff;3.04
40;lestari;Bidang Pergerakan;Staff;2.83
41;dinda;Bidang Pergerakan;Staff;3.39
42;syarif;Bidang Pergerakan;Staff;3.35
43;panji;Bidang Pergerakan;Staff;3.23
44;trisna;Bidang Pergerakan;Staff;3.63
45;rasyid;Bidang Pergerakan;Staff;3.58
46;baiq;Bidang Pergerakan;Staff;3.35
47;rio;Bidang Pergerakan;Staff;2.6
48;mochamad;Bidang Pergerakan;Staff;3.45
49;yan;Bidang Pergerakan;Staff;2.7
50;julianti;Bidang Pergerakan;Staff;3.02
51;elisabeth;Bidang Pergerakan;Staff;2.73
52;purwanto;Bidang Pergerakan;Staff;2.65
53;ratna;Bidang Pergerakan;Staff;2.86
54;tri;Bidang Pergerakan;Staff;2.96
55;wahyudi;Bidang Pergerakan;Staff;3.06
56;cahyo;Bidang Pergerakan;Staff;2.53
57;ikhsan;Bidang Pergerakan;Staff;2.9
58;nurjanah;Bidang Pergerakan;Staff;2.77
59;suryadi;Bidang Pergerakan;Staff;3.38
60;olivia;Bidang Pergerakan;Staff;3.55
61;diah;Bidang Pergerakan;Staff;3.0
62;tarigan;Bidang Pergerakan;Staff;2.66
63;nanang;Bidang Pergerakan;Staff;3.5
64;nuraeni;Bidang Pergerakan;Staff;3.76
65;ajie;Bidang Pergerakan;Staff;2.71
66;mulia;Bidang Pergerakan;Staff;2.71
67;miftahul;Bidang Pergerakan;Staff;3.34
68;fitra;Bidang Pergerakan;Staff;3.44
69;kukuh;Bidang Pergerakan;Staff;2.92
70;faizah;Bidang Pergerakan;Staff;3.04
71;tanjung;Bidang Pergerakan;Staff;2.72
72;didi;Bidang Pergerakan;Staff;3.36
73;imelda;Bidang Pergerakan;Staff;3.21
74;riza;Bidang Pergerakan;Staff;3.19
75;andika;Bidang Pergerakan;Staff;3.12
76;iin;Bidang Pergerakan;Staff;3.11
77;ita;Bidang Pergerakan;Staff;2.83
78;ady;Bidang Pergerakan;Staff;2.6
79;dodi;Bidang Pergerakan;Staff;3.88
80;lilik;Bidang Pergerakan;Staff;3.54
81;andy;Bidang Pergerakan;Staff;3.22
82;pipit;Bidang Pergerakan;Staff;3.29
83;hery;Bidang Pergerakan;Staff;3.57
84;andriyani;Bidang Pergerakan;Staff;2.77
85;sapto;Bidang Pergerakan;Staff;3.29
86;fransiska;Bidang Pergerakan;Staff;2.96
87;susanti;Bidang Pergerakan;Staff;3.0
88;arifin;Bidang Pergerakan;Staff;3.01
89;ismail;Bidang Pergerakan;Staff;3.04
90;danu;Bidang Pergerakan;Staff;3.73
91;edi;Bidang Pergerakan;Staff;2.86
92;rahmad;Bidang Pergerakan;Staff;3.98
93;eva;Bidang Pergerakan;Staff;3.29
94;rahmawati;Bidang Pergerakan;Staff;3.78
95;atik;Bidang Pergerakan;Staff;2.68
96;puspasari;Bidang Pergerakan;Staff;3.65
97;mochammad;Bidang Pergerakan;Staff;2.59
98;pradipta;Bidang Pergerakan;Staff;3.49
99;christin;Bidang Pergerakan;Staff;3.55
100;erika;Bidang Pergerakan;Staff;2.78
101;winda;Bidang Pergerakan;Staff;3.71
102;ester;Bidang Pergerakan;Staff;3.38
103;sembiring;Bidang Pergerakan;Staff;3.14
104;andri;Bidang Pergerakan;Staff;3.33
105;novi;Bidang Pergerakan;Staff;2.69
106;angelia;Bidang Pergerakan;Staff;3.54
107;afrizal;Bidang Pergerakan;Staff;2.8
108;dyan;Bidang Pergerakan;Staff;3.61
109;dony;Bidang Pergerakan;Staff;3.77
110;nirmala;Bidang Pergerakan;Staff;2.96
111;asep;Bidang Pergerakan;Staff;2.72
112;yoga;Bidang Pergerakan;Staff;3.72
113;hanif;Bidang Pergerakan;Staff;3.41
114;anisa;Bidang Pergerakan;Staff;3.49
115;ika;Bidang Pergerakan;Staff;3.57
116;citra;Bidang Pergerakan;Staff;2.54
117;azhar;Bidang Pergerakan;Staff;3.86
118;rizal;Bidang Pergerakan;Staff;3.48
119;firman;Bidang Pergerakan;Staff;3.69
120;iis;Bidang Pergerakan;Staff;3.7
121;nasution;Bidang Pergerakan;Staff;3.15
122;benny;Bidang Pergerakan;Staff;2.54
123;sitti;Bidang Pergerakan;Staff;2.73
124;tantri;Bidang Pergerakan;Staff;3.12
125;renny;Bidang Pergerakan;Staff;3.37
126;widyastuti;Bidang Pergerakan;Staff;3.34
127;helmi;Bidang Pergerakan;Staff;3.4
128;dody;Bidang Pergerakan;Staff;3.75
129;anggun;Bidang Pergerakan;Staff;3.29
130;derry;Bidang Pergerakan;Staff;3.83
131;dewi;Bidang Pergerakan;Staff;2.51
132;sulistyowati;Bidang Pergerakan;Staff;3.17
133;khairunnisa;Bidang Pergerakan;Staff;2.98
134;lala;Bidang Pergerakan;Staff;3.68
135;erma;Bidang Pergerakan;Staff;3.79
136;sitompul;Bidang Pergerakan;Staff;3.7
137;iqbal;Bidang Pergerakan;Staff;2.55
138;kartini;Bidang Pergerakan;Staff;3.44
139;azmi;Bidang Pergerakan;Staff;3.12
140;asti;Bidang Pergerakan;Staff;3.67
141;perdana;Bidang Pergerakan;Staff;3.39
142;didik;Bidang Pergerakan;Staff;3.39
143;norma;Bidang Pergerakan;Staff;2.57
144;rachmad;Bidang Pergerakan;Staff;3.01
145;hasibuan;Bidang Pergerakan;Staff;3.35
146;ulfah;Bidang Pergerakan;Staff;2.93
147;amalia;Bidang Pergerakan;Staff;3.01
148;yulia;Bidang Pergerakan;Staff;3.1
149;nana;Bidang Pergerakan;Staff;3.53
150;kusuma;Bidang Pergerakan;Staff;3.45
151;endang;Bidang Pergerakan;Staff;3.25
152;darmawan;Bidang Pergerakan;Staff;2.66
153;puspa;Bidang Pergerakan;Staff;3.28
154;martha;Bidang Pergerakan;Staff;3.78
155;indah;Bidang Pergerakan;Staff;3.02
156;ridwan;Bidang Pergerakan;Staff;3.68
157;guntur;Bidang Pergerakan;Staff;3.27
158;chandra;Bidang Pergerakan;Staff;3.33
159;yayuk;Bidang Pergerakan;Staff;2.66
160;sofyan;Bidang Pergerakan;Staff;2.51
161;erna;Bidang Pergerakan;Staff;3.61
162;susanto;Bidang Pergerakan;Staff;3.43
163;agnes;Bidang Pergerakan;Staff;2.84
164;toni;Bidang Pergerakan;Staff;3.96
165;kartikasari;Bidang Pergerakan;Staff;2.52
166;luh;Bidang Pergerakan;Staff;3.74
167;linda;Bidang Pergerakan;Staff;2.78
168;tirta;Bidang Pergerakan;Staff;3.19
169;permata;Bidang Pergerakan;Staff;2.71
170;slamet;Bidang Pergerakan;Staff;2.56
171;henny;Bidang Pergerakan;Staff;3.06
172;wibisono;Bidang Pergerakan;Staff;3.87
173;uswatun;Bidang Pergerakan;Staff;2.78
174;khotimah;Bidang Pergerakan;Staff;2.91
175;rini;Bidang Pergerakan;Staff;3.92
176;andriani;Bidang Pergerakan;Staff;2.84
177;elsa;Bidang Pergerakan;Staff;3.61
178;lita;Bidang Pergerakan;Staff;3.58
179;mei;Bidang Pergerakan;Staff;3.89
180;sukmawati;Bidang Pergerakan;Staff;3.26
181;jannah;Bidang Pergerakan;Staff;2.93
182;nurina;Bidang Pergerakan;Staff;3.98
183;taufik;Bidang Pergerakan;Staff;2.91
184;abie;Bidang Pergerakan;Staff;3.07
185;yeni;Bidang Pergerakan;Staff;3.66
186;wulansari;Bidang Pergerakan;Staff;3.14
187;yuliana;Bidang Pergerakan;Staff;3.41
188;wati;Bidang Pergerakan;Staff;4.0
189;asih;Bidang Pergerakan;Staff;2.7
190;anggraini;Bidang Pergerakan;Staff;3.56
191;widhi;Bidang Pergerakan;Staff;3.8
192;nurhasanah;Bidang Pergerakan;Staff;3.91
193;rangga;Bidang Pergerakan;Staff;2.82
194;lenny;Bidang Pergerakan;Staff;2.92
195;lusiana;Bidang Pergerakan;Staff;3.9
196;reny;Bidang Pergerakan;Staff;3.6
197;ulfa;Bidang Pergerakan;Staff;2.8
198;mila;Bidang Pergerakan;Staff;2.81
199;ernawati;Bidang Pergerakan;Staff;2.87
200;seto;Bidang Analisis;Ketua Divisi;3.8
201;hari;Bidang Analisis;Staff;3.38
202;prabowo;Bidang Analisis;Staff;3.69
203;arya;Bidang Analisis;Staff;3.73
204;prasetya;Bidang Analisis;Staff;3.75
205;irna;Bidang Analisis;Staff;2.98
206;rinaldi;Bidang Analisis;Staff;2.96
207;permatasari;Bidang Analisis;Staff;3.32
208;widodo;Bidang Analisis;Staff;2.83
209;ruth;Bidang Analisis;Staff;3.33
210;kusumastuti;Bidang Analisis;Staff;3.36
211;risky;Bidang Analisis;Staff;3.83
212;yun;Bidang Analisis;Staff;3.41
213;wardani;Bidang Analisis;Staff;3.98
214;ana;Bidang Analisis;Staff;3.5
215;rahma;Bidang Analisis;Staff;3.96
216;miranti;Bidang Analisis;Staff;3.47
217;rizki;Bidang Analisis;Staff;3.35
218;hani;Bidang Analisis;Staff;2.98
219;alam;Bidang Analisis;Staff;3.92
220;rahmi;Bidang Analisis;Staff;2.75
221;fransisca;Bidang Analisis;Staff;3.42
222;risa;Bidang Analisis;Staff;3.0
223;wira;Bidang Analisis;Staff;3.08
224;andini;Bidang Analisis;Staff;3.39
225;desy;Bidang Analisis;Staff;3.09
226;amir;Bidang Analisis;Staff;3.71
227;johan;Bidang Analisis;Staff;3.92
228;noviana;Bidang Analisis;Staff;2.78
229;sinta;Bidang Analisis;Staff;3.39
230;rahadian;Bidang Analisis;Staff;2.69
231;ardian;Bidang Analisis;Staff;3.19
232;kharisma;Bidang Analisis;Staff;2.54
233;gede;Bidang Analisis;Staff;2.6
234;arie;Bidang Analisis;Staff;2.68
235;ramadhan;Bidang Analisis;Staff;3.56
236;rosita;Bidang Analisis;Staff;3.52
237;liza;Bidang Analisis;Staff;3.61
238;samuel;Bidang Analisis;Staff;3.35
239;pradana;Bidang Analisis;Staff;3.62
240;rachman;Bidang Analisis;Staff;3.92
241;mulya;Bidang Analisis;Staff;3.57
242;carolina;Bidang Analisis;Staff;2.9
243;pratiwi;Bidang Analisis;Staff;3.38
244;manurung;Bidang Analisis;Staff;3.76
245;marlina;Bidang Analisis;Staff;3.05
246;adrian;Bidang Analisis;Staff;3.35
247;larasati;Bidang Analisis;Staff;2.99
248;abdullah;Bidang Analisis;Staff;2.59
249;christian;Bidang Analisis;Staff;2.78
250;isma;Bidang Analisis;Staff;4.0
251;tika;Bidang Analisis;Staff;2.5
252;tommy;Bidang Analisis;Staff;2.86
253;sinaga;Bidang Analisis;Staff;3.18
254;anak;Bidang Analisis;Staff;3.73
255;nyoman;Bidang Analisis;Staff;3.2
256;fauziah;Bidang Analisis;Staff;3.93
257;cahyono;Bidang Analisis;Staff;3.58
258;meita;Bidang Analisis;Staff;3.97
259;melati;Bidang Analisis;Staff;3.02
260;rahmat;Bidang Analisis;Staff;2.72
261;yuyun;Bidang Analisis;Staff;2.7
262;kurniasari;Bidang Analisis;Staff;3.39
263;andreas;Bidang Analisis;Staff;3.69
264;erlina;Bidang Analisis;Staff;3.82
265;ambar;Bidang Analisis;Staff;3.35
266;rani;Bidang Analisis;Staff;3.69
267;hermawan;Bidang Analisis;Staff;3.56
268;nanik;Bidang Analisis;Staff;2.97
269;fitriana;Bidang Analisis;Staff;3.31
270;candra;Bidang Analisis;Staff;2.96
271;retno;Bidang Analisis;Staff;3.95
272;bunga;Bidang Analisis;Staff;3.94
273;azizah;Bidang Analisis;Staff;3.02
274;syaiful;Bidang Analisis;Staff;3.12
275;anugrah;Bidang Analisis;Staff;2.63
276;syahrul;Bidang Analisis;Staff;2.81
277;wardhana;Bidang Analisis;Staff;2.87
278;yani;Bidang Analisis;Staff;3.51
279;astuti;Bidang Analisis;Staff;3.77
280;sitorus;Bidang Analisis;Staff;2.82
281;muttaqin;Bidang Analisis;Staff;3.97
282;irvan;Bidang Analisis;Staff;2.95
283;veronika;Bidang Analisis;Staff;2.84
284;riyanto;Bidang Analisis;Staff;2.65
285;arif;Bidang Analisis;Staff;3.98
286;riri;Bidang Analisis;Staff;2.51
287;syamsul;Bidang Analisis;Staff;3.42
288;tambunan;Bidang Analisis;Staff;3.18
289;kurniati;Bidang Analisis;Staff;2.78
290;christine;Bidang Analisis;Staff;3.93
291;murni;Bidang Analisis;Staff;3.91
292;hayati;Bidang Analisis;Staff;3.46
293;roni;Bidang Analisis;Staff;3.7
294;cinta;Bidang Analisis;Staff;3.61
295;rahmadhani;Bidang Analisis;Staff;3.23
296;syam;Bidang Analisis;Staff;2.93
297;triana;Bidang Analisis;Staff;3.37
298;ningrum;Bidang Analisis;Staff;3.39
299;siti;Bidang Analisis;Staff;3.48
300;fitriah;Bidang Analisis;Staff;2.96
301;herman;Bidang Analisis;Staff;2.91
302;juli;Bidang Analisis;Staff;2.81
303;vita;Bidang Analisis;Staff;2.51
304;rudy;Bidang Analisis;Staff;3.52
305;wanda;Bidang Analisis;Staff;3.76
306;juni;Bidang Analisis;Staff;3.19
307;lina;Bidang Analisis;Staff;2.79
308;yudi;Bidang Analisis;Staff;2.69
309;ariyani;Bidang Analisis;Staff;2.68
310;desti;Bidang Analisis;Staff;2.88
311;dewa;Bidang Analisis;Staff;2.82
312;rony;Bidang Analisis;Staff;3.65
313;satya;Bidang Analisis;Staff;2.54
314;hartati;Bidang Analisis;Staff;2.73
315;rika;Bidang Analisis;Staff;2.59
316;fajar;Bidang Analisis;Staff;2.72
317;maria;Bidang Analisis;Staff;3.23
318;yohana;Bidang Analisis;Staff;2.92
319;kiki;Bidang Analisis;Staff;2.74
320;hendy;Bidang Analisis;Staff;3.58
321;laura;Bidang Analisis;Staff;3.52
322;hendrik;Bidang Analisis;Staff;3.45
323;syahputra;Bidang Analisis;Staff;2.62
324;mutiara;Bidang Analisis;Staff;2.99
325;januar;Bidang Analisis;Staff;2.92
326;soraya;Bidang Analisis;Staff;2.96
327;fatimah;Bidang Analisis;Staff;2.78
328;aryo;Bidang Analisis;Staff;3.27
329;karina;Bidang Analisis;Staff;2.58
330;mahendra;Bidang Analisis;Staff;3.27
331;rima;Bidang Analisis;Staff;2.97
332;roro;Bidang Analisis;Staff;3.14
333;afriani;Bidang Analisis;Staff;3.8
334;ibrahim;Bidang Analisis;Staff;3.4
335;aminah;Bidang Analisis;Staff;3.99
336;vina;Bidang Analisis;Staff;3.41
337;kurniawati;Bidang Analisis;Staff;3.37
338;ratnasari;Bidang Analisis;Staff;2.81
339;dona;Bidang Analisis;Staff;3.94
340;desty;Bidang Analisis;Staff;3.89
341;nita;Bidang Analisis;Staff;3.34
342;kumala;Bidang Analisis;Staff;2.58
343;endah;Bidang Analisis;Staff;3.87
344;roy;Bidang Analisis;Staff;2.99
345;irma;Bidang Analisis;Staff;3.6
346;nadya;Bidang Analisis;Staff;3.1
347;ananda;Bidang Analisis;Staff;2.64
348;heru;Bidang Analisis;Staff;2.59
349;danang;Bidang Analisis;Staff;3.63
350;made;Bidang Kemasyarakatan;Ketua Divisi;2.83
351;pratama;Bidang Kemasyarakatan;Staff;3.86
352;ilham;Bidang Kemasyarakatan;Staff;3.34
353;setyowati;Bidang Kemasyarakatan;Staff;3.74
354;sihombing;Bidang Kemasyarakatan;Staff;2.63
355;irfan;Bidang Kemasyarakatan;Staff;2.79
356;elisa;Bidang Kemasyarakatan;Staff;3.34
357;adhitya;Bidang Kemasyarakatan;Staff;2.85
358;riki;Bidang Kemasyarakatan;Staff;3.66
359;harahap;Bidang Kemasyarakatan;Staff;2.8
360;sakti;Bidang Kemasyarakatan;Staff;2.71
361;sulastri;Bidang Kemasyarakatan;Staff;2.64
362;anton;Bidang Kemasyarakatan;Staff;3.1
363;edy;Bidang Kemasyarakatan;Staff;3.69
364;pramono;Bidang Kemasyarakatan;Staff;2.84
365;ronald;Bidang Kemasyarakatan;Staff;3.14
366;haryanto;Bidang Kemasyarakatan;Staff;2.72
367;mas;Bidang Kemasyarakatan;Staff;3.44
368;bagus;Bidang Kemasyarakatan;Staff;3.04
369;alif;Bidang Kemasyarakatan;Staff;3.24
370;erik;Bidang Kemasyarakatan;Staff;3.38
371;amin;Bidang Kemasyarakatan;Staff;3.25
372;fitriyani;Bidang Kemasyarakatan;Staff;3.04
373;adi;Bidang Kemasyarakatan;Staff;3.43
374;taufan;Bidang Kemasyarakatan;Staff;3.44
375;andina;Bidang Kemasyarakatan;Staff;2.6
376;sani;Bidang Kemasyarakatan;Staff;3.8
377;purba;Bidang Kemasyarakatan;Staff;3.96
378;susilo;Bidang Kemasyarakatan;Staff;3.22
379;agung;Bidang Kemasyarakatan;Staff;2.74
380;octaviani;Bidang Kemasyarakatan;Staff;2.57
381;agustin;Bidang Kemasyarakatan;Staff;2.69
382;apriani;Bidang Kemasyarakatan;Staff;3.62
383;maulina;Bidang Kemasyarakatan;Staff;3.73
384;satrio;Bidang Kemasyarakatan;Staff;3.01
385;farid;Bidang Kemasyarakatan;Staff;2.81
386;muh.;Bidang Kemasyarakatan;Staff;3.24
387;catur;Bidang Kemasyarakatan;Staff;3.09
388;tampubolon;Bidang Kemasyarakatan;Staff;3.16
389;fahmi;Bidang Kemasyarakatan;Staff;2.56
390;yulita;Bidang Kemasyarakatan;Staff;3.59
391;jati;Bidang Kemasyarakatan;Staff;3.44
392;setiawan;Bidang Kemasyarakatan;Staff;2.74
393;astrid;Bidang Kemasyarakatan;Staff;2.98
394;ambarwati;Bidang Kemasyarakatan;Staff;3.61
395;ervina;Bidang Kemasyarakatan;Staff;3.32
396;ginanjar;Bidang Kemasyarakatan;Staff;3.24
397;simatupang;Bidang Kemasyarakatan;Staff;3.32
398;juwita;Bidang Kemasyarakatan;Staff;3.99
399;rama;Bidang Kemasyarakatan;Staff;2.66
400;harry;Bidang Kemasyarakatan;Staff;2.88
401;ferry;Bidang Kemasyarakatan;Staff;3.83
402;betty;Bidang Kemasyarakatan;Staff;2.86
403;rara;Bidang Kemasyarakatan;Staff;3.49
404;wijayanto;Bidang Kemasyarakatan;Staff;3.79
405;baskoro;Bidang Kemasyarakatan;Staff;3.44
406;hakim;Bidang Kemasyarakatan;Staff;3.66
407;agustian;Bidang Kemasyarakatan;Staff;2.9
408;fauzan;Bidang Kemasyarakatan;Staff;2.88
409;fitrah;Bidang Kemasyarakatan;Staff;2.74
410;febrian;Bidang Kemasyarakatan;Staff;3.09
411;laili;Bidang Kemasyarakatan;Staff;3.89
412;pribadi;Bidang Kemasyarakatan;Staff;2.87
413;wardhani;Bidang Kemasyarakatan;Staff;3.08
414;yenni;Bidang Kemasyarakatan;Staff;2.7
415;simbolon;Bidang Kemasyarakatan;Staff;3.09
416;dicky;Bidang Kemasyarakatan;Staff;3.04
417;tua;Bidang Kemasyarakatan;Staff;2.89
418;andrian;Bidang Kemasyarakatan;Staff;3.35
419;herlina;Bidang Kemasyarakatan;Staff;2.78
420;taufiq;Bidang Kemasyarakatan;Staff;3.12
421;mia;Bidang Kemasyarakatan;Staff;3.8
422;jaya;Bidang Kemasyarakatan;Staff;3.47
423;martin;Bidang Kemasyarakatan;Staff;3.43
424;marina;Bidang Kemasyarakatan;Staff;3.34
425;nurhayati;Bidang Kemasyarakatan;Staff;3.42
426;rita;Bidang Kemasyarakatan;Staff;3.79
427;susi;Bidang Kemasyarakatan;Staff;3.98
428;ariyanto;Bidang Kemasyarakatan;Staff;3.26
429;alex;Bidang Kemasyarakatan;Staff;2.85
430;hendi;Bidang Kemasyarakatan;Staff;3.84
431;sapta;Bidang Kemasyarakatan;Staff;2.83
432;hanifah;Bidang Kemasyarakatan;Staff;2.85
433;setya;Bidang Kemasyarakatan;Staff;3.7
434;yunia;Bidang Kemasyarakatan;Staff;3.23
435;astria;Bidang Kemasyarakatan;Staff;3.44
436;syarifah;Bidang Kemasyarakatan;Staff;2.65
437;putra;Bidang Kemasyarakatan;Staff;2.61
438;megasari;Bidang Kemasyarakatan;Staff;3.7
439;ari;Bidang Kemasyarakatan;Staff;3.29
440;hanny;Bidang Kemasyarakatan;Staff;3.85
441;herawati;Bidang Kemasyarakatan;Staff;3.65
442;sandra;Bidang Kemasyarakatan;Staff;2.73
443;tuti;Bidang Kemasyarakatan;Staff;2.71
444;nia;Bidang Kemasyarakatan;Staff;2.86
445;aria;Bidang Kemasyarakatan;Staff;3.4
446;windy;Bidang Kemasyarakatan;Staff;3.8
447;widya;Bidang Kemasyarakatan;Staff;3.85
448;astri;Bidang Kemasyarakatan;Staff;3.82
449;reni;Bidang Kemasyarakatan;Staff;3.75
